ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0050972,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,"£4,700.00",10/02/2011,Unsolicited material to electors,Bill Smyth,"",£0.00,£0.00,£0.00,"£4,700.00",02/05/2011,25/05/2011,55,3640,,,,False
SP0050963,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,"£3,985.00",09/02/2011,Campaign broadcasts,Fearghal McKinney,"NA, NA, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,"£3,985.00",24/05/2011,24/05/2011,55,3633,,,,False
SP0050962,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,"£1,860.00",09/02/2011,Campaign broadcasts,Fearghal McKinney,"NA, NA, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,"£1,860.00",24/05/2011,24/05/2011,55,3633,,,,False
SP0051314,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£606.00,08/02/2011,Overheads and general administration,Parkway Photography,"80 Holywood Road, Belfast, Antrim, BT4 1NT, United Kingdom",£0.00,£0.00,£0.00,£606.00,22/03/2011,27/04/2011,83,2930,,,,False
SP0051311,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£396.24,08/02/2011,Rallies and other events,Crigavon Borough Council,"Lakeview Road, Craigavon, Armagh, BT64 1AL, United Kingdom",£0.00,£0.00,£0.00,£396.24,22/03/2011,27/04/2011,83,2933,,,,False
SP0051224,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£214.72,08/02/2011,Overheads and general administration,BT,"n/a, n/a, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£214.72,08/02/2011,08/02/2011,84,3729,,,,False
SP0051331,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£112.94,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£112.94,02/03/2011,27/04/2011,83,2923,,,,False
SP0051330,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£204.24,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£204.24,10/03/2011,27/04/2011,83,2923,,,,False
SP0051329,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£204.88,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£204.88,10/03/2011,27/04/2011,83,2923,,,,False
SP0051328,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£202.17,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£202.17,10/03/2011,27/04/2011,83,2923,,,,False
